Date,Close/Last
02/28/2024,18.43
02/27/2024,18.355
02/26/2024,18.645
02/23/2024,18.935
02/22/2024,18.82
02/21/2024,18.515
02/20/2024,18.435
02/16/2024,18.565
02/15/2024,18.885
02/14/2024,18.885
02/13/2024,18.63
12/02/2024,18.845
09/02/2024,19.08
08/02/2024,18.835
07/02/2024,18.735
06/02/2024,18.835
05/02/2024,18.555
02/02/2024,18.685
01/02/2024,18.345
01/31/2024,18.11
01/30/2024,18.425
01/29/2024,18.355
01/26/2024,18.255
01/25/2024,18.215
01/24/2024,18.07
01/23/2024,17.73
01/22/2024,17.845
01/19/2024,17.925
01/18/2024,17.875
01/17/2024,17.885
01/16/2024,17.8
